,Unnamed: 0,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
17247,21231,1955050,8597,8429,2014/2015,2015-05-02,AWAY_WIN,57.5,60.0,60.33333333333334,62.0,64.0,63.0,57.2,63.4,0.125,0.5,0.375,0.33035714285714285,0.4375,0.28846153846153844,0.3333333333333333,0.6666666666666666
17248,21232,1955051,9927,8649,2014/2015,2015-05-02,DRAW,57.33333333333334,63.25,61.33333333333334,57.0,61.0,63.0,62.5,63.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.43636363636363634,0.375,0.2553191489361702,0.3076923076923077,0.0
17249,21234,1955053,8467,8066,2014/2015,2015-05-02,DRAW,66.5,63.66666666666666,66.0,66.0,60.0,66.0,63.4,63.33333333333334,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.4,0.4666666666666667,0.34408602150537637,0.5333333333333333,0.2222222222222222
17250,21235,1955054,9927,8597,2014/2015,2015-05-08,HOME_WIN,60.66666666666666,64.75,61.0,58.0,63.0,63.0,62.16666666666666,63.0,0.3157894736842105,0.42105263157894735,0.2631578947368421,0.43243243243243246,0.35294117647058826,0.25225225225225223,0.125,0.42857142857142855
17251,21236,1955055,8284,8066,2014/2015,2015-05-09,AWAY_WIN,66.5,56.5,66.0,60.0,60.0,62.0,63.2,61.16666666666666,0.0,0.5,0.5,0.20588235294117646,0.2,0.3404255319148936,0.5,0.6666666666666666
17252,21237,1955056,8429,8426,2014/2015,2015-05-09,DRAW,62.5,57.5,62.5,61.66666666666666,61.0,64.0,62.5,57.2,0.0,0.5,0.5,0.3,0.3333333333333333,0.3225806451612903,0.2857142857142857,0.0
17253,21239,1955058,8467,9938,2014/2015,2015-05-09,DRAW,62.2,64.0,62.5,66.0,66.0,66.0,62.33333333333334,63.8,0.3,0.35,0.35,0.3958333333333333,0.4375,0.32456140350877194,0.3125,0.3
17254,21240,1955059,8485,9925,2014/2015,2015-05-10,AWAY_WIN,68.5,65.0,72.5,68.5,74.0,63.0,72.5,65.4,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.43636363636363634,0.75,0.6695652173913044,0.8,0.6
17255,21241,1955060,8467,9925,2014/2015,2015-05-15,DRAW,64.75,63.33333333333334,71.33333333333333,66.0,67.0,66.0,72.0,63.33333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3917525773195876,0.4117647058823529,0.6724137931034483,0.8125,0.7
17256,21243,1955062,8426,8597,2014/2015,2015-05-16,AWAY_WIN,61.0,62.5,61.0,63.0,63.0,61.0,61.83333333333334,63.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.21875,0.38461538461538464,0.25,0.11764705882352941,0.0
17257,21244,1955063,8649,8429,2014/2015,2015-05-16,HOME_WIN,56.0,56.5,59.66666666666666,61.33333333333334,64.0,61.0,57.2,62.6,0.0,0.5,0.5,0.36363636363636365,0.36363636363636365,0.3018867924528302,0.375,1.0
17258,21246,1955079,8066,9938,2014/2015,2015-05-16,HOME_WIN,62.25,66.5,64.5,66.0,66.0,60.0,62.25,63.6,0.2631578947368421,0.47368421052631576,0.2631578947368421,0.3548387096774194,0.5,0.3217391304347826,0.29411764705882354,0.4
17259,21248,1955066,8597,8649,2014/2015,2015-05-23,AWAY_WIN,59.0,61.0,62.5,61.0,61.0,50.0,61.2,60.2,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3274336283185841,0.4117647058823529,0.25,0.2857142857142857,0.25
17260,21249,1955067,9927,8426,2014/2015,2015-05-23,DRAW,59.0,58.0,64.0,59.5,61.0,58.0,59.14285714285714,59.5,0.6,0.4,0.0,0.4375,0.3888888888888889,0.3125,0.26666666666666666,0.0
17261,21250,1955068,8485,8467,2014/2015,2015-05-24,AWAY_WIN,63.33333333333334,65.0,66.0,64.5,66.0,63.0,62.83333333333334,64.25,0.35,0.3,0.35,0.43243243243243246,0.7058823529411765,0.3069306930693069,0.3125,0.2727272727272727
17262,21251,1955069,9925,8066,2014/2015,2015-05-24,HOME_WIN,63.33333333333334,72.0,65.0,69.0,60.0,74.0,60.5,72.0,0.6875,0.125,0.1875,0.7815126050420168,0.7777777777777778,0.3473684210526316,0.5294117647058824,0.1
17263,21252,1955070,9938,8284,2014/2015,2015-05-24,HOME_WIN,59.0,64.0,60.0,64.5,63.0,66.0,62.0,61.25,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.48695652173913045,0.5882352941176471,0.25806451612903225,0.35714285714285715,0.0
17264,21255,1726039,8597,9927,2014/2015,2014-08-23,HOME_WIN,60.5,60.0,67.5,57.0,58.0,62.0,62.0,61.83333333333334,0.4375,0.3125,0.25,0.30927835051546393,0.0,0.3877551020408163,0.0,0.4
17265,21257,1726041,8467,8485,2014/2015,2014-08-23,HOME_WIN,65.0,64.0,66.0,0.0,65.0,66.0,65.8,61.33333333333334,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.38271604938271603,0.0,0.25510204081632654,1.0,0.42857142857142855
17266,21258,1726042,9800,8284,2014/2015,2014-08-23,AWAY_WIN,57.33333333333334,58.0,56.0,61.0,62.0,66.0,61.5,61.5,0.5,0.5,0.0,0.28421052631578947,0.0,0.16666666666666666,0.0,0.5
17267,21259,1726043,8485,8426,2014/2015,2014-08-30,HOME_WIN,60.66666666666666,64.33333333333333,60.0,67.0,61.0,65.0,60.0,64.6,0.6666666666666666,0.3333333333333333,0.0,0.37894736842105264,0.0,0.3333333333333333,0.0,0.0
17268,21260,1726044,8284,9925,2014/2015,2014-08-31,DRAW,69.25,57.33333333333334,72.33333333333333,58.5,77.0,62.0,68.33333333333333,63.8,0.0,1.0,0.0,0.19047619047619047,0.0,0.6534653465346535,1.0,1.0
17269,21262,1726046,8066,8597,2014/2015,2014-08-30,HOME_WIN,60.0,65.33333333333333,62.0,71.0,62.0,64.0,61.66666666666666,61.16666666666666,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.32051282051282054,0.0,0.2708333333333333,0.0,0.16666666666666666
