,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating
19148,1750614,9772,7844,2014/2015,2015-01-10 00:00:00,HOME_WIN,67.0,74.66666666666667,69.0,78.0,67.0,82.0,71.0,74.0
19149,1750615,10264,9768,2014/2015,2015-01-11 00:00:00,AWAY_WIN,75.0,72.2,77.0,75.5,80.0,71.0,78.5,75.0
19151,1750617,9773,9807,2014/2015,2015-01-10 00:00:00,HOME_WIN,66.5,76.0,67.0,83.0,67.0,77.0,68.25,77.2
19152,1750618,7841,10212,2014/2015,2015-01-11 00:00:00,DRAW,66.5,64.75,74.0,70.0,68.0,72.0,67.57142857142857,70.8
19153,1750619,6403,10214,2014/2015,2015-01-18 00:00:00,AWAY_WIN,68.33333333333333,64.2,69.5,70.0,70.0,68.0,69.4,69.75
19154,1750620,8348,158085,2014/2015,2015-01-18 00:00:00,HOME_WIN,66.0,66.5,69.0,70.0,70.0,69.0,68.75,68.4
19155,1750621,9768,7841,2014/2015,2015-01-18 00:00:00,HOME_WIN,64.75,73.25,70.0,77.0,72.0,80.0,70.8,77.5
19157,1750623,7844,10215,2014/2015,2015-01-17 00:00:00,HOME_WIN,65.25,67.0,68.0,66.5,66.0,67.0,68.25,73.0
19158,1750624,10238,10264,2014/2015,2015-01-18 00:00:00,AWAY_WIN,72.4,67.0,75.5,68.5,72.0,65.0,75.33333333333333,67.0
19159,1750625,9807,9764,2014/2015,2015-01-18 00:00:00,HOME_WIN,67.33333333333333,66.5,65.0,70.0,70.0,67.0,66.66666666666667,68.8
19161,1750627,10212,9772,2014/2015,2015-01-18 00:00:00,AWAY_WIN,77.0,69.33333333333333,78.25,74.0,82.0,68.0,78.5,67.0
19162,1750628,9768,10215,2014/2015,2015-01-25 00:00:00,HOME_WIN,66.0,73.75,65.0,77.0,66.0,80.0,67.33333333333333,79.0
19163,1750629,7844,9764,2014/2015,2015-01-24 00:00:00,DRAW,67.33333333333333,67.0,65.0,67.0,70.0,67.0,66.66666666666667,71.75
19164,1750630,8613,10264,2014/2015,2015-01-25 00:00:00,HOME_WIN,70.0,64.25,76.0,63.5,72.0,67.0,74.75,65.0
19165,1750631,7842,158085,2014/2015,2015-01-25 00:00:00,HOME_WIN,66.25,68.25,69.0,69.0,70.0,71.0,69.0,68.75
19167,1750633,10238,7841,2014/2015,2015-01-25 00:00:00,HOME_WIN,65.0,65.75,70.0,68.5,72.0,65.0,70.8,66.0
