,match_api_id,num_top_players_home,num_top_players_away,num_bottom_players_home,num_bottom_players_away
686,838855,0,0,0,0
687,838857,0,0,0,0
688,838859,0,0,0,0
690,838862,0,0,0,0
691,838864,0,0,0,0
692,838491,0,0,0,0
693,838493,0,0,0,0
694,838494,0,0,0,0
698,838499,0,0,0,0
699,838500,0,0,0,0
700,838867,0,0,0,0
701,838869,0,0,0,0
703,838872,0,0,0,0
704,838873,0,0,0,0
705,838874,0,0,0,0
706,838875,0,0,0,0
707,838876,0,0,1,0
708,838503,0,0,0,0
709,838504,0,0,0,0
710,838506,0,0,0,0
711,838508,0,0,0,0
713,838511,0,0,0,0
715,838515,0,0,0,0
716,838517,0,0,0,0
718,838519,0,0,0,0
720,838521,0,0,0,0
721,838523,0,0,0,0
722,838524,0,0,0,0
723,838526,0,0,0,0
724,838528,0,0,0,0
725,838529,0,0,0,0
726,838531,0,0,0,0
727,838532,0,0,0,0
728,838534,0,0,0,0
729,838536,0,0,0,0
730,838537,0,0,0,0
732,838540,0,0,0,0
733,838542,0,0,0,0
734,838543,0,0,0,0
736,838546,0,0,0,0
737,838547,0,0,0,0
739,838552,0,0,0,0
740,838555,0,0,0,0
742,838558,0,0,0,0
743,838560,0,0,0,0
744,838561,0,0,0,0
745,838562,0,0,0,0
746,838563,0,0,0,0
747,838564,0,0,0,0
748,838567,0,0,0,0
749,838568,0,0,0,0
750,838570,0,0,0,0
751,838571,0,0,0,0
753,838575,0,0,0,0
754,838576,0,0,0,0
755,838578,0,0,0,0
756,1032692,0,0,0,0
757,1032693,0,0,0,0
758,1032694,0,0,0,0
761,1032697,0,0,0,0
762,1032698,0,0,0,0
763,1032699,0,0,0,0
764,1032764,0,0,0,0
765,1032765,0,0,0,0
766,1032766,0,0,0,0
767,1032767,0,0,0,0
768,1032768,0,0,0,0
770,1032770,0,0,0,0
771,1032771,0,0,0,0
773,1032773,0,0,0,0
774,1032774,0,0,0,0
775,1032775,0,0,0,0
776,1032776,0,0,0,0
777,1032777,0,0,0,0
778,1032778,0,0,0,0
780,1032780,0,0,0,0
781,1032781,0,0,0,0
782,1032782,0,0,0,0
783,1032783,0,0,0,0
784,1032784,0,0,0,0
785,1032785,0,0,0,0
786,1032786,0,0,0,0
787,1032787,0,0,0,0
788,1032788,0,0,0,0
789,1032789,0,0,0,0
790,1032790,0,0,0,0
791,1032791,0,0,0,0
792,1032792,0,0,0,0
793,1032793,0,0,0,0
794,1032794,0,0,0,0
795,1032795,0,0,0,0
796,1032796,0,0,0,0
797,1032797,0,0,0,0
799,1032799,0,0,1,0
801,1032801,0,0,0,0
803,1032803,0,0,0,0
804,1032804,0,0,0,0
805,1032805,0,0,0,0
806,1032806,0,0,0,0
807,1032807,0,0,0,0
808,1032808,0,0,0,0
809,1032809,0,0,0,0
811,1032811,0,0,0,0
812,1032812,0,0,0,0
813,1032813,0,0,0,0
814,1032814,0,0,0,0
815,1032815,0,0,0,0
816,1032816,0,0,0,0
817,1032817,0,0,0,0
819,1032819,0,0,0,0
820,1032820,0,0,0,0
821,1032821,0,0,0,0
823,1032823,0,0,0,0
825,1032825,0,0,0,0
826,1032826,0,0,0,0
827,1032827,0,0,0,0
828,1032828,0,0,0,0
829,1032829,0,0,0,0
830,1032830,0,0,0,0
831,1032831,0,0,0,0
832,1032832,0,0,1,0
833,1032833,0,0,0,0
835,1032835,0,0,0,0
836,1032836,0,0,0,0
837,1032837,0,0,0,0
839,1032839,0,0,0,0
840,1032840,0,0,0,0
841,1032841,0,0,0,0
842,1032842,0,0,0,1
843,1032843,0,0,0,0
844,1032700,0,0,0,0
845,1032701,0,0,0,0
847,1032703,0,0,0,0
849,1032705,0,0,0,0
850,1032706,0,0,0,0
851,1032707,0,0,0,0
852,1032844,0,0,0,0
